SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
706,706,0.578,0.142,0.262
707,707,-0.958,0.045,-0.999
708,708,0.515,0.045,0.245
709,709,-0.032,-0.143,-0.663
710,710,0.284,0.039,-0.297
711,711,0.715,0.111,-0.171
712,712,0.777,0.193,0.38
713,713,0.006,-0.05,-0.496
714,714,0.19,-0.174,-0.333
715,715,0.97,0.045,-0.923
716,716,0.581,0.051,-0.543
717,717,0.488,0.047,-0.118
718,718,0.535,-0.002,-0.388
719,719,0.371,0.011,-0.207
720,720,0.336,0.025,-0.376
721,721,0.377,0.017,-0.345
722,722,0.852,0.078,0.999
723,723,0.461,-0.012,-0.072
724,724,0.598,0.077,0.06
725,725,0.343,-0.036,0.144
726,726,0.34,-0.051,-0.549
727,727,0.747,0.124,0.317
728,728,0.748,0.086,0.663
729,729,0.885,0.126,0.193
730,730,0.259,0.057,0.208
731,731,0.355,0.014,-0.225
732,732,0.618,0.057,0.539
733,733,0.639,0.114,0.659
734,734,0.482,0.062,-0.495
735,735,-0.049,-0.054,-0.711
736,736,0.061,0.011,0.024
737,737,0.233,0.023,-0.078
738,738,0.356,0.013,-0.04
739,739,0.826,0.11,0.254
740,740,0.774,0.088,0.676
741,741,0.203,-0.004,-0.321
742,742,0.469,0.073,0.028
743,743,0.61,0.046,0.273
744,744,0.445,0.028,-0.187
745,745,0.732,0.158,0.537
746,746,0.43,-0.028,-0.447
747,747,-0.197,-0.083,-0.568
748,748,0.127,-0.062,-0.499
749,749,0.388,0.053,-0.98
750,750,0.69,0.085,0.56
751,751,0.924,0.046,0.331
752,752,0.295,0.07,0.144
753,753,0.537,0.072,0.131
754,754,0.527,-0.033,-0.347
755,755,0.749,0.145,0.141
756,756,0.915,0.188,0.194
757,757,0.931,0.06,0.079
758,758,0.751,0.074,0.051
759,759,0.662,0.133,0.493
760,760,0.428,0.026,-0.587
761,761,0.965,0.169,-0.981
762,762,0.743,-0.3,0.947
763,763,0.512,-0.004,0.673
764,764,0.198,-0.059,-0.092
765,765,0.916,0.242,0.999
766,766,0.395,-0.024,-0.434
767,767,0.562,0.102,0.629
768,768,0.976,0.012,-0.958
769,769,0.258,0.121,0.66
770,770,-0.976,-0.109,-0.941
771,771,0.649,0.104,0.312
772,772,0.769,0.063,0.266
773,773,0.613,-0.015,0.664
774,774,0.022,0.042,0.015
775,775,0.108,0.022,-0.033
776,776,0.714,0.062,-0.274
777,777,0.132,0.107,-0.323
778,778,0.883,0.072,0.992
779,779,0.649,0.18,-0.286
780,780,0.414,0.032,0.219
